,nationality,bronze_count
10,AUS,25
11,AUT,2
12,AZE,10
13,BAH,5
17,BEL,2
23,BLR,7
26,BRA,6
29,BUL,6
33,CAN,61
38,CHN,37
39,CIV,1
43,COL,3
47,CRO,2
48,CUB,4
50,CZE,12
51,DEN,16
54,DOM,1
56,EGY,3
59,ESP,17
60,EST,4
61,ETH,5
63,FIN,1
64,FRA,21
68,GBR,26
70,GEO,4
72,GER,67
74,GRE,3
83,HUN,7
85,IND,1
86,IOA,1
87,IRI,4
91,ISR,2
93,ITA,24
95,JAM,2
97,JPN,35
98,KAZ,9
99,KEN,1
102,KOR,10
113,LTU,5
116,MAR,1
117,MAS,1
119,MDA,1
121,MEX,2
122,MGL,1
135,NED,13
137,NGR,18
139,NOR,19
141,NZL,5
151,POL,10
152,POR,1
153,PRK,2
157,ROU,11
158,RSA,14
159,RUS,34
168,SLO,1
172,SRB,13
177,SUI,2
180,SWE,3
185,THA,2
190,TPE,4
191,TTO,1
192,TUN,3
193,TUR,4
195,UAE,1
197,UKR,5
199,USA,71
200,UZB,7
202,VEN,2
