country,bronze_cnt,silver_cnt,gold_cnt,ling_fract,relig_fract,ethnic_fract
Afghanistan,0,0,0,0.614099979,0.271699995,0.769299984
Albania,0,0,0,0.039900001,0.471899986,0.220400006
Andorra,0,0,0,0.684800029,0.232600003,0.71390003
Argentina,0,21,1,0.061799999,0.2236,0.254999995
Armenia,0,1,3,0.129099995,0.457599998,0.127200007
Australia,25,23,30,0.334899992,0.821099997,0.092900001
Australia,25,23,34,0.334899992,0.821099997,0.092900001
Austria,2,0,0,0.152199998,0.414600015,0.106799997
Azerbaijan,10,1,7,0.205400005,0.489899993,0.204699993
Azerbaijan,10,1,7,0.205400005,0.489899993,0.204699993
Belarus,7,1,4,0.466600001,0.611599982,0.3222
Belarus,7,1,4,0.466600001,0.611599982,0.3222
Belgium,2,2,17,0.540899992,0.212699994,0.555400014
Belgium,2,2,17,0.540899992,0.212699994,0.555400014
Benin,0,0,0,0.790499985,0.554400027,0.787199974
Bolivia,0,0,0,0.224000007,0.208499998,0.739600003
Brazil,6,37,6,0.046799999,0.605400026,0.540799975
Brazil,6,37,8,0.046799999,0.605400026,0.540799975
Burundi,0,0,1,0.297699988,0.515799999,0.295100003
Cameroon,0,0,0,0.889800012,0.733799994,0.863499999
Canada,61,4,4,0.577199996,0.695800006,0.712400019
Canada,61,4,4,0.577199996,0.695800006,0.712400019
China,37,38,26,0.132699996,0.664300025,0.153799996
China,37,46,30,0.132699996,0.664300025,0.153799996
Colombia,3,3,2,0.019300001,0.147799999,0.601400018
Colombia,3,3,2,0.019300001,0.147799999,0.601400018
Comoros,0,0,0,0.0103,0.0137,0
Cuba,4,5,2,0,0.505900025,0.590799987
Cuba,4,5,2,0,0.505900025,0.590799987
Cyprus,0,0,0,0.396200001,0.396200001,0.093900003
Djibouti,0,0,0,0.655799985,0.043499999,0.796199977
Dominica,0,0,0,0,0.462799996,0.200299993
Ecuador,0,0,0,0.130799994,0.1417,0.654999971
Egypt,3,0,0,0.023700001,0.197899997,0.183599994
Eritrea,0,0,0,0.652999997,0.425300002,0.652400017
Estonia,4,0,0,0.494399995,0.49849999,0.506200016
Ethiopia,5,1,2,0.807299972,0.624899983,0.723500013
Ethiopia,5,1,2,0.807299972,0.624899983,0.723500013
Finland,1,0,0,0.141200006,0.253100008,0.131500006
France,21,20,52,0.122100003,0.40290001,0.103200004
France,21,20,54,0.122100003,0.40290001,0.103200004
Gabon,0,0,0,0.782100022,0.667400002,0.768999994
Georgia,4,2,1,0.474900007,0.654299974,0.492300004
Georgia,4,2,1,0.474900007,0.654299974,0.492300004
Ghana,0,0,0,0.673099995,0.798699975,0.673300028
Guam,0,0,0,0.731999993,0.408199996,0
Guyana,0,0,0,0.068800002,0.787599981,0.619499981
Hungary,7,4,3,0.0297,0.524399996,0.152199998
Hungary,7,12,3,0.0297,0.524399996,0.152199998
Iceland,0,0,0,0.082000002,0.191300005,0.079800002
India,1,0,1,0.806900024,0.326000005,0.418199986
Iraq,0,0,0,0.369399995,0.484400004,0.368900001
Ireland,0,0,3,0.031199999,0.155000001,0.1206
Israel,2,0,0,0.55250001,0.346899986,0.343600005
Italy,24,6,40,0.114699997,0.302700013,0.114500001
Italy,24,8,40,0.114699997,0.302700013,0.114500001
Jamaica,2,6,17,0.109800003,0.615999997,0.412900001
Jamaica,2,11,17,0.109800003,0.615999997,0.412900001
Japan,35,15,13,0.0178,0.540600002,0.0119
Japan,35,17,13,0.0178,0.540600002,0.0119
Jordan,0,1,0,0.0396,0.065899998,0.592599988
Kazakhstan,9,3,5,0.662100017,0.5898,0.6171
Kazakhstan,9,3,5,0.662100017,0.5898,0.6171
Kenya,1,6,6,0.885999978,0.776499987,0.858799994
Kenya,1,6,6,0.885999978,0.776499987,0.858799994
Kiribati,0,0,0,0.023700001,0.554099977,0.051100001
Kyrgyzstan,0,0,0,0.594900012,0.446999997,0.675199986
Liberia,0,0,0,0.903800011,0.488299996,0.908399999
Liechtenstein,0,0,0,0.224600002,0.334300011,0.572600007
Lithuania,5,0,2,0.32190001,0.414099991,0.322299987
Luxembourg,0,0,0,0.643999994,0.0911,0.530200005
Mali,0,0,0,0.838800013,0.181999996,0.690599978
Malta,0,0,0,0.090700001,0.122299999,0.0414
Mexico,2,0,3,0.151099995,0.1796,0.541800022
Moldova,1,0,0,0.553300023,0.560299993,0.553499997
Morocco,1,0,0,0.468300015,0.0035,0.484100014
Mozambique,0,0,0,0.8125,0.675899982,0.693199992
Namibia,0,0,0,0.700500011,0.662599981,0.6329
Nauru,0,0,0,0.616100013,0.619400024,0.583199978
Norway,19,0,0,0.067299999,0.204799995,0.058600001
Pakistan,0,0,0,0.718999982,0.384799987,0.709800005
Palau,0,0,0,0.315699995,0.714699984,0.431199998
Panama,0,0,0,0.387300014,0.333799988,0.5528
Peru,0,0,0,0.335799992,0.198799998,0.656599998
Poland,10,3,3,0.046799999,0.171200007,0.118299998
Poland,10,3,3,0.046799999,0.171200007,0.118299998
Qatar,0,0,1,0.479999989,0.094999999,0.745599985
Romania,11,4,2,0.172299996,0.237299994,0.306899995
Romania,11,4,2,0.172299996,0.237299994,0.306899995
Rwanda,0,0,0,0,0.506600022,0.323799998
Senegal,0,0,0,0.708100021,0.149700001,0.693899989
Serbia,13,14,26,0,0,0.573599994
Serbia,13,14,26,0,0,0.573599994
Somalia,0,0,0,0.032600001,0.0028,0.811699986
Spain,17,9,19,0.413199991,0.451400012,0.416500002
Spain,17,9,19,0.413199991,0.451400012,0.416500002
Swaziland,0,0,0,0.172199994,0.444400012,0.058200002
Sweden,3,2,23,0.196799994,0.234200001,0.059999999
Sweden,3,2,23,0.196799994,0.234200001,0.059999999
Tajikistan,0,1,0,0.547299981,0.33860001,0.510699987
Thailand,2,2,2,0.63440001,0.099399999,0.63380003
Thailand,2,2,2,0.63440001,0.099399999,0.63380003
Tunisia,3,0,0,0.0124,0.0104,0.0394
Turkey,4,1,3,0.221599996,0.0049,0.319999993
Turkey,4,1,3,0.221599996,0.0049,0.319999993
Turkmenistan,0,0,0,0.398400009,0.232700005,0.391799986
Tuvalu,0,0,0,0.137199998,0.252400011,0.162900001
Uganda,0,0,0,0.922699988,0.63319999,0.930199981
Ukraine,5,2,8,0.474099994,0.615700006,0.473699987
Ukraine,5,2,8,0.474099994,0.615700006,0.473699987
Uzbekistan,7,4,2,0.412,0.213300005,0.412499994
Uzbekistan,7,4,2,0.412,0.213300005,0.412499994
Yemen,0,0,0,0.008,0.0023,0
