sport,gold_medal_no,silver_medal_no,bronze_medal_no,funding
archery,0,0,0,2952237
athletics,2,1,11,26824206
badminton,0,0,2,5737524
boxing,1,1,1,13764437
cycling,14,4,2,30267816
equestrian,2,4,0,17992600
fencing,0,0,0,4225261
gymnastics,2,2,3,14615428
hockey,16,0,0,16141393
judo,0,0,1,7366200
modern pentathlon,0,0,0,6972174
rowing,15,11,0,32622862
sailing,3,1,0,25504055
shooting,0,0,2,3950888
archery,0,0,0,2952237
athletics,2,1,11,26824206
badminton,0,0,2,5737524
boxing,1,1,1,13764437
cycling,14,4,2,30267816
equestrian,2,4,0,17992600
fencing,0,0,0,4225261
gymnastics,2,2,3,14615428
hockey,16,0,0,16141393
judo,0,0,1,7366200
modern pentathlon,0,0,0,6972174
rowing,15,11,0,32622862
sailing,3,1,0,25504055
shooting,0,0,2,3950888
archery,0,0,0,2952237
athletics,2,1,11,26824206
badminton,0,0,2,5737524
boxing,1,1,1,13764437
cycling,14,4,2,30267816
equestrian,2,4,0,17992600
fencing,0,0,0,4225261
gymnastics,2,2,3,14615428
hockey,16,0,0,16141393
judo,0,0,1,7366200
modern pentathlon,0,0,0,6972174
rowing,15,11,0,32622862
sailing,3,1,0,25504055
shooting,0,0,2,3950888
table tennis,0,0,0,0
taekwondo,1,1,1,8052837
triathlon,1,1,1,7457977
weightlifting,0,0,0,1709340
archery,0,0,0,2952237
athletics,2,1,11,26824206
badminton,0,0,2,5737524
boxing,1,1,1,13764437
cycling,14,4,2,30267816
equestrian,2,4,0,17992600
fencing,0,0,0,4225261
gymnastics,2,2,3,14615428
hockey,16,0,0,16141393
judo,0,0,1,7366200
modern pentathlon,0,0,0,6972174
rowing,15,11,0,32622862
sailing,3,1,0,25504055
shooting,0,0,2,3950888
